DATE_TIME,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION,hour,minute,day_of_year,total_ac_power_kw
2020-06-13 00:30:00,21.68706846666667,19.5628032,0.0,0,30,165,0.0
2020-06-13 00:45:00,21.619232066666665,19.559181866666663,0.0,0,45,165,0.0
2020-06-13 01:00:00,21.62596846666667,19.7870584,0.0,1,0,165,0.0
2020-06-13 01:15:00,21.6098348,19.668430666666666,0.0,1,15,165,0.0
2020-06-13 01:30:00,21.69312946666667,19.528464800000005,0.0,1,30,165,0.0
2020-06-13 01:45:00,21.82476585714286,19.508193785714283,0.0,1,45,165,0.0
2020-06-13 02:00:00,21.8943176,19.922452733333337,0.0,2,0,165,0.0
2020-06-13 02:15:00,21.80948073333333,19.62547406666667,0.0,2,15,165,0.0
2020-06-13 02:30:00,21.824768133333333,19.722699,0.0,2,30,165,0.0
2020-06-13 02:45:00,21.762382066666667,19.78051553333333,0.0,2,45,165,0.0
2020-06-13 03:00:00,21.80184526666667,19.9007874,0.0,3,0,165,0.0
2020-06-13 03:15:00,21.800122066666667,19.8409138,0.0,3,15,165,0.0
2020-06-13 03:30:00,21.771885066666663,19.845127266666665,0.0,3,30,165,0.0
2020-06-13 03:45:00,21.75163373333333,19.8883016,0.0,3,45,165,0.0
2020-06-13 04:00:00,21.695316785714287,19.80174035714285,0.0,4,0,165,0.0
2020-06-13 04:15:00,21.687630066666667,19.7502948,0.0,4,15,165,0.0
2020-06-13 04:30:00,21.6996928,19.72627573333333,0.0,4,30,165,0.0
2020-06-13 04:45:00,21.70644933333333,19.613462266666662,0.0,4,45,165,0.0
2020-06-13 05:00:00,21.69656973333333,19.487091133333333,0.0,5,0,165,0.0
2020-06-13 05:15:00,21.651534,19.3644714,0.0,5,15,165,0.0
2020-06-13 05:30:00,21.506585666666663,19.00236393333333,0.0,5,30,165,0.0
2020-06-13 05:45:00,21.320007266666668,18.526363133333334,0.0001515382176666,5,45,165,0.0
2020-06-13 06:00:00,21.28513,18.49177971428572,0.0083566124785714,6,0,165,198.864285714
2020-06-13 06:15:00,21.227468,18.72892853333333,0.0266036344666666,6,15,165,768.36607143
2020-06-13 06:30:00,21.14960933333333,19.30752746666667,0.0437152266,6,30,165,1268.86428573
2020-06-13 06:45:00,21.4259318,20.3191406,0.0749735576,6,45,165,2311.65178565
2020-06-13 07:00:00,22.15570466666667,22.733018,0.161645104,7,0,165,3861.6642857
2020-06-13 07:15:00,22.832635466666662,26.273624666666667,0.2261299179999999,7,15,165,5687.0892858
2020-06-13 07:30:00,23.55732406666667,29.705493133333327,0.27848515,7,30,165,7275.5857142
2020-06-13 07:45:00,24.221519,32.6289328,0.3412023106666666,7,45,165,9254.0839284
2020-06-13 08:00:00,24.7192118,35.47181186666666,0.4043418426666666,8,0,165,11227.2589285
2020-06-13 08:15:00,25.18008221428571,37.9038915,0.4780336921428571,8,15,165,13497.0303572
2020-06-13 08:30:00,25.640753066666665,39.91504320000001,0.5138973833333333,8,30,165,14846.3482144
2020-06-13 08:45:00,26.137734,41.55750153333333,0.5205082880000002,8,45,165,15990.1053571
2020-06-13 09:00:00,26.32546173333333,43.22846253333333,0.5899908493333333,9,0,165,17054.617857
2020-06-13 09:15:00,26.5877218,43.06868493333333,0.5980412346666665,9,15,165,18049.6357144
2020-06-13 09:30:00,26.939325000000004,44.3578572,0.6172084186666666,9,30,165,17396.0357145
2020-06-13 09:45:00,27.206691533333327,45.463765,0.6706322820000001,9,45,165,18726.4767865
2020-06-13 10:00:00,27.573553600000004,46.448215666666655,0.6152538133333332,10,0,165,19239.6124995
2020-06-13 10:15:00,27.727917533333333,45.92864793333334,0.7577599673333335,10,15,165,22164.6535708
